,_sa_instance_state,text,datetime,tweet_id,username,id
2586,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5f40>,@democrazymedia Kadrun tereak TURUNKAN JOKOWI..kita biasa aja kok Laaah....giliran kita tereak JOKOWI 3 PERIODE kenapa kalian gerah kepanasan ? makanya ga heran ada kejadian KANJURUHAN krn ga siap kalah...sih...pengennya menang melulu. Kaya elo....DRUN Paham..!,27/11/2022,1596882779353927685,tukangaduayam,2587
2587,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5fa0>,"@2024harapanbaru @BenkApoet @Sa16987601San @CNNIndonesia Lah yg panik siapa kadrun bisa  aje ga berubah 🤣..elu yg panik..lu.posting Jokowi kumpul sama ratusan rbu relawan kok,trus lu kometar lah yg panik siapa..ya elu lah🤣..sibuk posting Jikowi dan relawan..itu aja panik.pdahal jokowi bukan.Cpres agi..gmna kalo 3 periode,mkin panas🤣",27/11/2022,1596882176758644738,OktoraJk007,2588
2588,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43040>,Gue jg pengen bgt kaya pak jokowi karena karirnya masyaallah bgt 1. Jadi pengusaha Kayu 2. Jadi walikota 3. Jadi gubernur 4. Jadi presiden bahkan ada yg dukung sampe 3 periode masyaallah  Aturan nama gue Zafira widodo agar rezekinya seperti pak jokowi #bismillahsepeda #jokowi,27/11/2022,1596880611180163072,Zafiraaazz,2589
2589,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a430a0>,"@tempodotco Heran dengan @jokowi, sepertinya masih saja tergoda dengan seruan 3 periode dari bandit-bandit demokrasi",27/11/2022,1596879873129447425,kaizen_pdca,2590
2590,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43100>,kisah Relawan 📱dikasih duit datang 📱dimobilisasi datang 🎤istigosah ya datang 🎤pengajian datang dong 📢 Jokowi 3 Periode balik belakang mau pulang... tapi gerbang dikunciin kena Prank dah 😂 https://t.co/8rxh6JB1SU,27/11/2022,1596878837421604865,Cattl3yya,2591
2591,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43160>,"@_MbakSri_ Katanya rakyat udah ga mau pa Jokowi, katanya lumpuh, katanya gagal, tapi kelompok itu paling takut kalau Presiden bisa 3 periode, kalau udah udah dianggap gagal kenapa ditakutin ya 😄😄😄",27/11/2022,1596878015962972161,perkasa_f,2592
2592,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a431c0>,"@AdiSulung3 @pembela_nalar @givanet81 @tifsembiring Klo org Indonesia teriak jokowi 3 periode pasti ada alasannya, klo kadrun bukan org Indonesia tp teriak ganti pancasila dengan syariat Islam apa alasannya? Ini Negara Indonesia Anda kadrun bukan org Indonesia, lebih baik anda teriak2 saja sendiri di gurun pasir.",27/11/2022,1596875848879333376,akumasdan,2593
2593,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43220>,@jokowi Napa sih nafsu amat 3 periode?? Itu acara resmi kenegaraan atau bukan kok pake pin kepresidenan??,27/11/2022,1596875625251635201,coretan_gorong2,2594
2594,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43280>,@DaengWahidin2 Jokowi mundur vs jokowi 3 periode.  Emang suara elu ada berapa banyak kah ? 130 juta spt kata si nopel ??  Ha ha ha,27/11/2022,1596873220774252549,anakranto64,2595
2595,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a432e0>,"@scoob8dy_ Trus udahannya mreka dbagi2 duittt😮‍💨😮‍💨😮‍💨  Kampret bgt sumpahhh taiii. Ku kira juga, segitu banyak yg dukung jokowi 3 periode. Ternyata sebagian besar ya kagak. Bego anjrit",27/11/2022,1596873083494989825,ythbapaksungjin,2596
2596,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43340>,Kumpul Relawan Jokowi Secara Terang Benderang Gaungkan 3 Periode: Pesannya Clear! https://t.co/GknqW89B0e,27/11/2022,1596871903498543104,OposisiCerdas,2597
2597,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a433a0>,"Terulang lagi! DI PRANK LAGI!! Judulnya acara keagamaan di Gelora bungkarno,tapi isinya kampanye jokowi 3 periode. Mana pintu dikunci.jadi org tidak boleh plg sblm acara selesai https://t.co/moXPVyIJ3g Relawan Gereja 100M",27/11/2022,1596870925185490945,Dyra_Xannora,2598
2598,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43400>,Semoga Jokowi bisa lanjut 3 periode,27/11/2022,1596870059674464256,Tempr2878,2599
2599,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43460>,"@JulBayur3 @jokowi Nanggung 3 periode  Seumur hidup aja Pak.  Kenapa? Pertumbuhan ekonomi era sekarang dikisaran 5 persen per tahun, artinya lebih tinggi dibanding era SBY yang pertumbuhan bisa tumbuh 7 persen.",27/11/2022,1596868026216812551,veroaktivis,2600
2600,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a434c0>,@AndiSinulingga Orang2 yg bermulut kayak gini itu hasil pemikiran apa sih..??? Apa sih yg di otaknya itu? Pengennya apa sih mereka..?? Kadrun hrs puja2 Jokowi gitu..?? Jokowi hrs 3 periode gitu.baru mereka puass?? Gemes jg gw..??,27/11/2022,1596867888555532289,wahyuberbedza19,2601
2601,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43520>,@capparuni Jokowi kampanye 3 periode ngabisin 100m,27/11/2022,1596863745854439424,wawarpo,2602
2602,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43580>,@geloraco Itu kan memang keinginan Jokowi ingin 3 periode yang masih membara di hati!,27/11/2022,1596863358778900481,RayKnig16584322,2603
2603,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a435e0>,Kumpul Relawan Jokowi Secara Terang Benderang Gaungkan 3 Periode: Pesannya Clear! https://t.co/KXFuXgu0bh,27/11/2022,1596861000627941378,geloraco,2604
2604,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43640>,"@CNNIndonesia Inilah kehebatan Jokowi. Cuma ngomong jatah, dunia gempar. Cuma ngomong rambut putih, dunia gempar. Sudah lanjut 3 periode saja, Indonesia tentram.",27/11/2022,1596860951743299584,JohnnyTheBoyyyy,2605
2605,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a436a0>,"Sebenarnya kami bukan ingin 3 periode, tapi 5 periode..  Ya, kami butuh pemimpin yg mampu menjamin kesinambungan progam jangka panjang Pak Jokowi, seperti IKN, tetap berada pada rel yg benar hingga 25 tahun mendatang...",27/11/2022,1596858320656433153,charlessiahaan,2606
2606,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43700>,"@OposisiCerdas UUD sdh menerangkan bahwa 2024 jokowi sdh expired kepemimpinannya, tololnya msh ada yg bikin survei, teriak, dukungan 3 periode.",27/11/2022,1596857594010046466,dedifrozenfood,2607
2607,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43760>,"@hnurwahid KALO ADA DEMO BERJILID2 YG INGINKAN PRESIDEN JOKOWI MUNDUR, ANDA DIAM ???!!BUKANKAH ITU MAKAR??..TAPI JIKA ADA RAKYAT YG INGINKSN 3 PERIODE ANDA KESURUPAN?? WAKIL RAKYAT MACAM APA?? ORANG MACAM GINI KOK BISA JADI WAKIL RAKYAT???!!",27/11/2022,1596854242748555267,Itje157,2608
2608,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a437c0>,@msaid_didu usulan 3 periode melanggar konstitusi ??? hahaha belajar lagi ttg konstitusi pak didu ..... anies merangkul pemuda pancasila boleh ...... tapi kalo kadin dukung jokowi ga boleh ??? ..... eh ... eh si didu mau menang sendiri .......,27/11/2022,1596853256084652038,endonesiatwit,2609
2609,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43820>,Hoax hoax. Akal akalan kadrun ini mah. JOKOWI 3 PERIODE!!!! CAAAKKZZZ,27/11/2022,1596853147011780613,Belerzheng,2610
2610,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43880>,"Jokowi Bicara Kriteria Calon Pemimpin, Jokpro Malah Bahas 3 Periode https://t.co/ex6ztb5ZKc",27/11/2022,1596850965315227648,IDNTimes,2611
2611,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a438e0>,@pembela_nalar @tifsembiring Emang jokowi 3 periode buat NKRI? Hahaha,27/11/2022,1596850925226033152,akuwong3,2612
2612,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43940>,"@tifsembiring Seharusnya g cm 3 periode,  klo perlu sampe 5 ato 8 periode sekalian.. Saya sih g malu utk meneriakkan itu,  tp pak Jokowi yg g mau..",27/11/2022,1596850110016520193,EkaPurwani8,2613
2613,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a439a0>,"@tifsembiring Insya Alloh Jokowi 3 periode. . Ape lo, ape lo..🤣🤣🤣🤣🤣",27/11/2022,1596850039514464256,CahRukan,2614
2614,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43a00>,@SahabatSaber Bukan klojotan tetapi ditertawai orang apa substansi kumpulin orang padahal bukan kampanye atau Jokowi capres lagi.?? rakyat sudah cerdas cukup dapat pelajaran politik selama Jokowi berkuasa tinggal tunggu aja waktunya rakyat ngamuk2 kalo pemilu ditunda apalagi minta 3 periode,27/11/2022,1596848516361752576,DaengWahidin2,2615
2615,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43a60>,"@tifsembiring Loh, teriakan 3 periode melanggar konstitusi ya? Kalau teriakan ""khilafaahh!"" Melanggar tidak? Aduh kok begini level fikir mantan presiden partai. Teriakan publik begitu bukan melanggar konstitusi, yang melanggar itu jika Jokowi membuat Perpu yg mengubah masa jabatan Presiden.",27/11/2022,1596848210055933954,bondanwicaksono,2616
2616,<sqlalchemy.orm.state.InstanceState object at 0x7fed23a43ac0>,Jokopro Yakin Jokowi 3 periode Mulai Menemui Titik Terang https://t.co/v75qv568CR,27/11/2022,1596847917163155456,jawapos,2617
