,_sa_instance_state,datetime,text,tweet_id,id,username
1863,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0e80>,09/12/2022,"@VIVAcoid walaupun bukan pak jokowi yang menyatakan soal 3 periode, tetap pak jokowi yang salah kan ?",1601180761511841795,1864,alfredsangian
1864,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0ee0>,09/12/2022,"Santai aja mbak, pejabat yang ngurusin sedang kampanye jokowi 3 periode",1601176561067364352,1865,mudjib_trisatya
1865,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0f40>,09/12/2022,"indikasi kejahatan konstitusi oleh siapapun pelakunya di negara ini  Adapun untuk alat menangkis atau menolak isu pemunduran pemilu 2024 sebagai langkah negatif politik hukum dari para oknum penguasa, agar Jokowi menjabat 3 periode, dengan cara undurkan jadwal pemilu Calon",1601172549601460229,1866,DamaiHariLubis
1866,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0fa0>,09/12/2022,"RI.dan merujuk UUD. 1945.  Maka Bamsoet dengan jabatan yang disandangnya, tentunya amat tidak pantas jika masih atau malah ikut serta dalam gagasan atau ide gila dalam kaitannya undur pemilu sekaligus Jokowi Presiden 3 periode tanpa pemilu, maka kualitas hukumnya Bamsoet dapat",1601171502413410304,1867,DamaiHariLubis
1867,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3abc040>,09/12/2022,"diumumkan oleh KPU, sehingga siapaun pihak - pihak yang mencoba berkeinginan undur pemilu 2024 dan perpanjang jabatan Jokowi untuk 3 periode, walau dikatakan hanya sebagai wacana, namun wacana yang memiliki intrik- intrik perbuatan fisik nyata untuk melanggar konstitusi terkait",1601171490652581888,1868,DamaiHariLubis
1868,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3abc0a0>,09/12/2022,@msaid_didu Siap dukung Jokowi 3 periode supaya yang kena sick power syndrome semakin stress....,1601169210591547396,1869,Herry09898531
1869,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3abc100>,09/12/2022,"Curiga Dukung Jokowi 3 Periode, Demokrat Sebut Bamsoet 'Pembegal Demokrasi' https://t.co/hJ8BttjHo3",1601168918852386816,1870,GoRiauCom
1870,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3abc160>,09/12/2022,"Curiga Dukung Jokowi 3 Periode, Demokrat Sebut Bamsoet 'Pembegal Demokrasi' https://t.co/v4yCJUq46D",1601168288146665472,1871,GoSumbarcom
1871,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3abc1c0>,09/12/2022,"Bamsoet Hidupkan Wacana Jokowi 3 Periode Lagi, Demokrat: Berhentilah Hembuskan Angin Sesat https://t.co/Goez8nRek6 https://t.co/CxgLdReJrn",1601165419012030465,1872,pikiran_rakyat
1872,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3abc220>,09/12/2022,"Wacana Jokowi 3 Periode Muncul Lagi, Pimpinan DPR Pastikan Tahapan Pemilu Tetap Jalan https://t.co/fP7xBWUp8D",1601163119128190976,1873,rsaupwr
1873,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3abc280>,09/12/2022,"Bamsoet Munculkan Lagi Wacana Jokowi 3 Periode, Dasco Sebut Hanya Pendapat Pribadi https://t.co/ZbYVk2SV0D",1601163115894394880,1874,rsaupwr
